scrambleMode,nodeMode,matrixMode,lastStep,matrixSize,numBytesIn,numBytesOut,Loading Key,Loading Scrambled Data,Descrambling,Outputting Descrambled Data
scrambling,byte,array,Done,7280,7280,1,19,2,163,1
scrambling,bit,linked,Done,8160,1020,1,22,2,103,0
scrambling,byte,linked,Done,7290,7290,1,20,2,84,0
scrambling,bit,linked,Done,7568,946,1,21,1,90,0
scrambling,byte,array,Done,7310,7310,1,23,3,145,0
scrambling,bit,array,Done,7280,910,1,19,1,131,0
scrambling,byte,hashed,Done,7920,7920,51,22,2,528,48
scrambling,bit,hashed,Done,10320,1290,51,38,3,786,1
scrambling,byte,array,Done,7920,7920,51,21,2,145,0
scrambling,bit,linked,Done,10640,1330,51,29,2,168,0
scrambling,byte,hashed,Done,7752,7752,51,21,2,510,0
scrambling,bit,array,Done,10560,1320,51,28,2,284,1
scrambling,byte,hashed,Done,8460,8460,101,23,2,558,42
scrambling,bit,linked,Done,4032,504,101,12,1,33,0
scrambling,byte,hashed,Done,8455,8455,101,23,2,572,0
scrambling,bit,linked,Done,4536,567,101,14,0,39,0
scrambling,byte,linked,Done,8463,8463,101,22,2,108,0
scrambling,bit,array,Done,4352,544,101,13,1,62,1
scrambling,byte,array,Done,8820,8820,151,25,1,181,0
scrambling,bit,hashed,Done,4928,616,151,14,3,251,1
scrambling,byte,array,Done,8640,8640,151,23,2,186,0
scrambling,bit,array,Done,4864,608,151,15,1,77,1
scrambling,byte,hashed,Done,8667,8667,151,23,3,662,0
scrambling,bit,array,Done,4968,621,151,14,1,77,1
scrambling,byte,hashed,Done,9072,9072,201,24,3,658,0
scrambling,bit,linked,Done,3472,434,201,11,1,30,1
scrambling,byte,hashed,Done,9200,9200,201,25,2,662,1
scrambling,bit,hashed,Done,3472,434,201,12,1,160,1
scrambling,byte,linked,Done,9200,9200,201,25,1,125,0
scrambling,bit,hashed,Done,3360,420,201,10,2,155,1
scrambling,byte,hashed,Done,9476,9476,251,32,2,682,1
scrambling,bit,array,Done,3904,488,251,12,0,53,1
scrambling,byte,array,Done,9234,9234,251,25,1,190,1
scrambling,bit,hashed,Done,3904,488,251,11,2,184,1
scrambling,byte,hashed,Done,9450,9450,251,25,3,684,0
scrambling,bit,linked,Done,3960,495,251,12,1,32,1
scrambling,byte,hashed,Done,9797,9797,301,26,3,724,1
scrambling,bit,hashed,Done,3776,472,301,11,1,170,1
scrambling,byte,hashed,Done,9800,9800,301,25,3,725,1
scrambling,bit,array,Done,3712,464,301,11,1,55,1
scrambling,byte,hashed,Done,9765,9765,301,26,3,707,0
scrambling,bit,hashed,Done,3720,465,301,11,2,177,1
scrambling,byte,array,Done,10094,10094,351,33,1,217,0
scrambling,bit,linked,Done,3776,472,351,11,1,29,2
scrambling,byte,linked,Done,10094,10094,351,29,2,142,0
scrambling,bit,array,Done,3776,472,351,11,1,50,1
scrambling,byte,hashed,Done,10058,10058,351,27,2,743,1
scrambling,bit,array,Done,3840,480,351,11,1,55,1
scrambling,byte,linked,Done,10404,10404,401,33,1,151,1
scrambling,bit,hashed,Done,4288,536,401,13,1,215,1
scrambling,byte,linked,Done,10395,10395,401,28,1,159,1
scrambling,bit,hashed,Done,4352,544,401,13,2,222,2
scrambling,byte,array,Done,10148,10148,401,31,2,221,1
scrambling,bit,array,Done,4352,544,401,12,1,72,1
scrambling,byte,hashed,Done,10488,10488,451,30,3,811,1
scrambling,bit,hashed,Done,4760,595,451,14,1,238,1
scrambling,byte,array,Done,10608,10608,451,27,1,233,0
scrambling,bit,linked,Done,5112,639,451,15,1,48,2
scrambling,byte,hashed,Done,10608,10608,451,28,3,794,49
scrambling,bit,array,Done,4824,603,451,15,1,73,1
scrambling,byte,linked,Done,10800,10800,501,31,1,163,0
scrambling,bit,array,Done,5256,657,501,16,2,76,2
scrambling,byte,hashed,Done,10815,10815,501,28,3,857,0
scrambling,bit,array,Done,5320,665,501,17,1,89,1
scrambling,byte,array,Done,10800,10800,501,29,2,237,1
scrambling,bit,linked,Done,5328,666,501,15,1,48,3
scrambling,byte,array,Done,11025,11025,551,31,2,250,1
scrambling,bit,array,Done,5928,741,551,18,1,98,1
scrambling,byte,linked,Done,10856,10856,551,29,1,166,0
scrambling,bit,array,Done,5624,703,551,17,0,92,1
scrambling,byte,linked,Done,11016,11016,551,29,1,164,0
scrambling,bit,array,Done,5624,703,551,16,1,89,1
scrambling,byte,array,Done,11252,11252,601,33,2,258,0
scrambling,bit,array,Done,5920,740,601,22,1,98,1
scrambling,byte,array,Done,11330,11330,601,29,2,262,0
scrambling,bit,array,Done,6240,780,601,18,1,107,1
scrambling,byte,linked,Done,11312,11312,601,31,1,180,0
scrambling,bit,linked,Done,6240,780,601,32,1,64,3
scrambling,byte,array,Done,11554,11554,651,72,1,263,1
scrambling,bit,array,Done,6480,810,651,18,1,110,1
scrambling,byte,array,Done,11536,11536,651,30,2,265,0
scrambling,bit,linked,Done,6800,850,651,26,1,76,4
scrambling,byte,array,Done,11466,11466,651,66,1,276,1
scrambling,bit,array,Done,6560,820,651,18,1,110,1
scrambling,byte,array,Done,3685,3685,701,11,1,51,0
scrambling,bit,hashed,Done,6888,861,701,22,2,407,44
scrambling,byte,array,Done,3705,3705,701,11,1,49,0
scrambling,bit,hashed,Done,7568,946,701,21,2,470,2
scrambling,byte,array,Done,3640,3640,701,13,1,47,0
scrambling,bit,array,Done,7216,902,701,19,1,129,2
scrambling,byte,linked,Done,3808,3808,751,12,0,29,0
scrambling,bit,array,Done,7568,946,751,21,1,138,1
scrambling,byte,array,Done,3819,3819,751,12,1,54,1
scrambling,bit,linked,Done,7560,945,751,24,1,89,5
scrambling,byte,array,Done,3843,3843,751,11,0,51,1
scrambling,bit,array,Done,7656,957,751,21,1,144,1
scrambling,byte,array,Done,3944,3944,801,12,0,52,0
scrambling,bit,array,Done,7744,968,801,23,1,144,2
scrambling,byte,hashed,Done,3969,3969,801,11,1,181,1
scrambling,bit,linked,Done,7832,979,801,21,1,96,5
scrambling,byte,linked,Done,3960,3960,801,11,1,30,1
scrambling,bit,array,Done,7920,990,801,22,2,154,2
scrambling,byte,array,Done,4092,4092,851,12,0,61,0
scrambling,bit,array,Done,8272,1034,851,22,1,164,2
scrambling,byte,array,Done,4092,4092,851,13,1,58,0
scrambling,bit,array,Done,8184,1023,851,23,1,164,1
scrambling,byte,array,Done,4047,4047,851,12,0,57,1
scrambling,bit,array,Done,8280,1035,851,22,1,173,1
scrambling,byte,linked,Done,4104,4104,901,12,1,32,1
scrambling,bit,hashed,Done,8800,1100,901,23,3,598,2
scrambling,byte,array,Done,4221,4221,901,12,1,59,1
scrambling,bit,array,Done,9024,1128,901,24,2,193,2
scrambling,byte,hashed,Done,4221,4221,901,13,1,211,0
