scrambleMode,nodeMode,matrixMode,lastStep,matrixSize,numBytesIn,numBytesOut,Loading Data,Padding Data,Scrambling,Outputting Scrambled Data,Outputting key
scrambling,byte,hashed,Done,7280,1,9708,0,3,483,1,15
scrambling,bit,hashed,Done,8160,1,1360,1,3,550,1,17
scrambling,byte,linked,Done,7290,1,9720,1,1,86,0,20
scrambling,bit,linked,Done,7568,1,1264,0,2,91,1,17
scrambling,byte,array,Done,7310,1,9748,1,2,143,1,18
scrambling,bit,array,Done,7280,1,1216,0,2,133,1,16
scrambling,byte,hashed,Done,7920,51,10560,1,3,539,2,17
scrambling,bit,hashed,Done,10320,51,1720,5,4,813,2,22
scrambling,byte,linked,Done,7920,51,10560,1,55,100,1,18
scrambling,bit,linked,Done,10640,51,1776,1,4,176,2,23
scrambling,byte,array,Done,7752,51,10336,1,1,148,2,16
scrambling,bit,array,Done,10560,51,1760,2,3,245,1,22
scrambling,byte,hashed,Done,8460,101,11280,0,2,564,2,17
scrambling,bit,hashed,Done,4032,101,672,1,2,196,1,10
scrambling,byte,linked,Done,8455,101,11276,1,1,113,1,17
scrambling,bit,linked,Done,4536,101,756,51,4,74,0,11
scrambling,byte,array,Done,8463,101,11284,2,1,168,1,17
scrambling,bit,array,Done,4352,101,728,1,1,58,1,10
scrambling,byte,hashed,Done,8820,151,11760,1,3,639,1,19
scrambling,bit,hashed,Done,4928,151,824,1,1,249,10,11
scrambling,byte,linked,Done,8640,151,11520,1,1,121,1,19
scrambling,bit,linked,Done,4864,151,812,0,1,45,1,11
scrambling,byte,array,Done,8667,151,11556,1,1,180,1,19
scrambling,bit,array,Done,4968,151,828,1,0,80,1,12
scrambling,byte,hashed,Done,9072,201,12096,1,2,689,45,21
scrambling,bit,hashed,Done,3472,201,580,4,2,158,1,8
scrambling,byte,linked,Done,9200,201,12268,0,1,134,1,20
scrambling,bit,linked,Done,3472,201,580,0,1,31,0,9
scrambling,byte,array,Done,9200,201,12268,0,2,205,1,21
scrambling,bit,array,Done,3360,201,560,1,1,43,1,9
scrambling,byte,hashed,Done,9476,251,12636,0,3,689,2,19
scrambling,bit,hashed,Done,3904,251,652,1,1,204,1,9
scrambling,byte,linked,Done,9234,251,12312,0,1,138,0,20
scrambling,bit,linked,Done,3904,251,652,1,0,30,1,9
scrambling,byte,array,Done,9450,251,12600,0,2,194,1,20
scrambling,bit,array,Done,3960,251,660,3,22,58,0,9
scrambling,byte,hashed,Done,9797,301,13064,0,3,743,2,19
scrambling,bit,hashed,Done,3776,301,632,3,1,180,1,12
scrambling,byte,linked,Done,9800,301,13068,1,1,144,1,21
scrambling,bit,linked,Done,3712,301,620,0,1,29,0,9
scrambling,byte,array,Done,9765,301,13020,1,1,205,1,21
scrambling,bit,array,Done,3720,301,620,1,1,50,1,10
scrambling,byte,hashed,Done,10094,351,13460,0,3,790,2,20
scrambling,bit,hashed,Done,3776,351,632,1,1,172,1,9
scrambling,byte,linked,Done,10094,351,13460,1,1,150,0,22
scrambling,bit,linked,Done,3776,351,632,1,0,28,1,9
